gene_symbol	hgnc_id	entrez_id	count
ADD2	HGNC:244	Entrez:119	0
ADD3	HGNC:245	Entrez:120	80
ADD3-AS1	HGNC:48682	Entrez:100505933	0
ADGB	HGNC:21212	Entrez:79747	0
ADGB-DT	HGNC:55654	Entrez:101928661	0
ADGRA1	HGNC:13838	Entrez:84435	0
ADGRA1-AS1	HGNC:49543	Entrez:100128127	0
ADGRA2	HGNC:17849	Entrez:25960	0
ADGRA3	HGNC:13839	Entrez:166647	0
ADGRA3P1	HGNC:55918	Entrez:100996333	0
ADGRB1	HGNC:943	Entrez:575	0
ADGRB2	HGNC:944	Entrez:576	0
ADGRB3	HGNC:945	Entrez:577	0
ADGRB3-DT	HGNC:55774	Entrez:101928307	0
ADGRD1	HGNC:19893	Entrez:283383	0
ADGRD1-AS1	HGNC:53314	Entrez:105755954	0
ADGRD2	HGNC:18651	Entrez:347088	0
ADGRE1	HGNC:3336	Entrez:2015	0
ADGRE2	HGNC:3337	Entrez:30817	0
ADGRE3	HGNC:23647	Entrez:84658	0
ADGRE4P	HGNC:19240	Entrez:326342	0
ADGRE5	HGNC:1711	Entrez:976	0
ADGRF1	HGNC:18990	Entrez:266977	0
ADGRF2P	HGNC:18991	Entrez:222611	0
ADGRF3	HGNC:18989	Entrez:165082	0
ADGRF4	HGNC:19011	Entrez:221393	0
ADGRF5	HGNC:19030	Entrez:221395	0
ADGRF5-AS1	HGNC:40864	Entrez:101926962	0
ADGRF5P1	HGNC:32922	Entrez:389740	0
ADGRF5P2	HGNC:32921	Entrez:441416	0
ADGRG1	HGNC:4512	Entrez:9289	0
ADGRG2	HGNC:4516	Entrez:10149	0
ADGRG3	HGNC:13728	Entrez:222487	0
ADGRG4	HGNC:18992	Entrez:139378	0
ADGRG5	HGNC:19010	Entrez:221188	0
ADGRG6	HGNC:13841	Entrez:57211	0
ADGRG7	HGNC:19241	Entrez:84873	0
ADGRL1	HGNC:20973	Entrez:22859	0
ADGRL1-AS1	HGNC:55309	Entrez:100507373	0
ADGRL2	HGNC:18582	Entrez:23266	0
ADGRL3	HGNC:20974	Entrez:23284	0
ADGRL3-AS1	HGNC:50604	Entrez:101927186	0
ADGRL4	HGNC:20822	Entrez:64123	0
ADGRV1	HGNC:17416	Entrez:84059	0
